,group,delta_vx (m/d),delta_vy (m/d),KDE_vx (m/d),KDE_vy (m/d),Incorrect match (%)
count,10.0,10.0,10.0,10.0,10.0,10.0
mean,5.5,0.00737,0.00708,-0.008140000000000001,-0.01616,28.64526
std,3.0276503540974917,0.0014468740250776655,0.0023375200533899167,0.005619054882965442,0.011161959206758162,15.635239353332587
min,1.0,0.0053,0.0042,-0.0123,-0.0237,7.1578
25%,3.25,0.0063,0.0046,-0.012150000000000001,-0.02345,17.100225000000002
50%,5.5,0.007350000000000001,0.0078,-0.011349999999999999,-0.0227,26.15225
75%,7.75,0.0087,0.0091,-0.0027,-0.00575,43.40085
max,10.0,0.0094,0.0098,0.0001,0.0001,50.2793
