,group,delta_vx (m/d),delta_vy (m/d),KDE_vx (m/d),KDE_vy (m/d),Incorrect match (%)
count,10.0,10.0,10.0,10.0,10.0,10.0
mean,5.5,0.09585,0.08635000000000001,-0.05991,0.01722,24.59221
std,3.0276503540974917,0.031748324540219613,0.02384483405501307,0.03624265289529574,0.009601712810165116,7.404336003908639
min,1.0,0.0538,0.052,-0.0851,0.0017,14.9413
25%,3.25,0.06810000000000001,0.068225,-0.08299999999999999,0.010925,19.44155
50%,5.5,0.09275,0.0837,-0.0808,0.02175,24.420450000000002
75%,7.75,0.12204999999999999,0.09645000000000001,-0.03125,0.023174999999999998,26.03005
max,10.0,0.1474,0.1258,-0.004,0.0254,36.4618
