,group,delta_vx (m/d),delta_vy (m/d),KDE_vx (m/d),KDE_vy (m/d),Incorrect match (%)
count,10.0,10.0,10.0,10.0,10.0,10.0
mean,5.5,0.10778999999999998,0.11884000000000002,0.012989999999999998,-0.10868,22.79025
std,3.0276503540974917,0.026090587915525737,0.02614498889738614,0.010945161285040781,0.06823122126677461,3.821743440499374
min,1.0,0.0609,0.07,-0.0033,-0.1584,15.8986
25%,3.25,0.09280000000000001,0.097725,0.002725,-0.15607500000000002,20.847025000000002
50%,5.5,0.10125,0.1312,0.01895,-0.14429999999999998,22.365099999999998
75%,7.75,0.1311,0.134725,0.020249999999999997,-0.050275,26.278775
max,10.0,0.1457,0.1549,0.021,-0.0057,27.5739
